2633, 1

274, 0

225, 1

189, 0

308, 1

209, 0

334, 1

115, 0

676, 1

339, 0

158, 1

1266, 0

201, 1

583, 0

535, 1

118, 0

117, 1

2122, 0

110, 1

812, 0

606, 1

515, 0

310, 1

3201, 0

366, 1

355, 0

3352, 1

172, 0

206, 1

145, 0

139, 1

229, 0

225, 1

575, 0

156, 1

2724, 0

379, 1

3005, 0

625, 1

471, 0

383, 1

3173, 0

349, 1

389, 0

2815, 1

179, 0

624, 1

567, 0

418, 1

352, 0

106, 1

411, 0

207, 1

1425, 0

148, 1

191, 0

239, 1

284, 0

575, 1

1925, 0

66, 1

774, 0

626, 1

473, 0

348, 1

3199, 0

366, 1

375, 0

2492, 1

399, 0

146, 1

1237, 0

240, 1

1198, 0

140, 1

517, 0

402, 1

4502, 0

638, 1

515, 0

88, 1

164, 0

184, 1

3069, 0

349, 1

382, 0

2594, 1

271, 0

559, 1

4315, 0

439, 1

3143, 0

602, 1

533, 0

347, 1

1161, 0

130, 1

1848, 0

336, 1

414, 0

1826, 1

157, 0

715, 1

171, 0

660, 1

1415, 0

587, 1

970, 0

171, 1

354, 0

98, 1

478, 0

115, 1

177, 0

160, 1

3245, 0

660, 1

461, 0

324, 1

3175, 0

394, 1

373, 0

2625, 1

280, 0

124, 1

691, 0

123, 1

1261, 0

79, 1

1716, 0

104, 1

356, 0

670, 1

195, 0

81, 1

2993, 0

605, 1

526, 0

103, 1

150, 0

160, 1

3082, 0

341, 1

398, 0

2563, 1

316, 0

463, 1

227, 0

108, 1

356, 0

118, 1

1514, 0

93, 1

1840, 0

120, 1

180, 0

142, 1

1908, 0

75, 1

1294, 0

625, 1

538, 0

129, 1

107, 0

49, 1

3183, 0

345, 1

401, 0

1906, 1

350, 0

368, 1

550, 0

214, 1

579, 0

666, 1

587, 0

100, 1

711, 0

392, 1

908, 0

314, 1

201, 0

493, 1

1506, 0

108, 1

1329, 0

629, 1

555, 0

102, 1

3367, 0

353, 1

386, 0

2550, 1

311, 0

183, 1

171, 0

253, 1

1019, 0

222, 1

71, 0

153, 1

2214, 0

328, 1

242, 0

282, 1

3301, 0

614, 1

554, 0

115, 1

107, 0

106, 1

3144, 0

362, 1

379, 0

2233, 1

76, 0

1086, 1

99, 0

83, 1

319, 0

308, 1

2185, 0

139, 1

1207, 0

93, 1

62, 0

383, 1

3034, 0

659, 1

474, 0

123, 1

611, 0

62, 1

575, 0

276, 1

1855, 0

348, 1

395, 0

1934, 1

183, 0

429, 1

4869, 0

384, 1

58, 0

243, 1

3199, 0

632, 1

518, 0

138, 1

1302, 0

63, 1

1988, 0

358, 1

385, 0

2611, 1

374, 0

471, 1

2165, 0

353, 1

157, 0

848, 1

219, 0

153, 1

3495, 0

87, 1

353, 0

640, 1

497, 0

274, 1

3238, 0

333, 1

395, 0

2640, 1

275, 0

323, 1

266, 0

101, 1

597, 0

111, 1

3587, 0

146, 1

3245, 0

689, 1

485, 0

345, 1

595, 0

57, 1

